asin,title,imgUrl,price,stars,isBestSeller,boughtInLastMonth,category_name
B086WX1DT9,"Women Calculators,BREIS Creative Cute Solar Energy Calculator, 12 Digit Large LCD Display, Handheld for Daily and Basic Office, Pink (Pink+Pink)",https://m.media-amazon.com/images/I/91d35hPYc1S._AC_UL320_.jpg,12.99,4.7,False,100,Office Electronics
B001V9LQH0,Fujitsu ScanSnap S1500 Instant PDF Sheet-Fed Scanner for PC,https://m.media-amazon.com/images/I/61sW8KEf0GL._AC_UL320_.jpg,679.99,4.5,False,0,Office Electronics
B07YXY2GX3,"Printers Jack Compatiable Epson T522 Refill Ink Bottle Kit for Epson EcoTank ET-2720, ET-4700",https://m.media-amazon.com/images/I/71QInLrLFHL._AC_UL320_.jpg,16.89,4.6,False,900,Office Electronics
B000BP2YDU,"HP 92 Black Ink Cartridge | Works with HP DeskJet 5440; HP OfficeJet 6310; HP PhotoSmart C3100, 7850; HP PSC 1500 Series | C9362WN",https://m.media-amazon.com/images/I/81dF81rAeML._AC_UL320_.jpg,0.0,4.6,False,400,Office Electronics
B0BWWBR4DL,"Red Laser Pointer High Power, High Power Long Range Strong Laser Pointer, Rechargeable Laser Pointer for Presentations",https://m.media-amazon.com/images/I/61IKYAvHPqL._AC_UL320_.jpg,7.99,3.5,False,50,Office Electronics
B0001DU7LI,"Xyron Double Sided Laminate Refill for 850 Creative Station, 8.5"" x 100', Lamination Refill Cartridge (DL201-100)",https://m.media-amazon.com/images/I/81Mu4OPJxqL._AC_UL320_.jpg,46.94,4.8,False,0,Office Electronics
B0BLSW1Z3B,"18 Pieces Pocket Calculator,Pocket Size Mini Calculators,8 Digit Display Basic Calculator,Solar Battery Dual Power Desktop Calculators for Students Kids Home Office (Multicolor, 18 Pieces)",https://m.media-amazon.com/images/I/81fxjTHcHGL._AC_UL320_.jpg,22.29,4.8,False,50,Office Electronics
B0C4KNT6QC,"TMY Mini Projector for iPhone, Portable Projector with 5G WiFi and Bluetooth, 1080P HD Projector【with Tripod】, 9500Lux Movie Projector for iOS/Android/PC/TV Stick/HDMI/AV/USB, Indoor & Outdoor use",https://m.media-amazon.com/images/I/61W83MCaDlL._AC_UL320_.jpg,89.99,4.6,False,400,Office Electronics
B0BQBWCYX1,"280XXL PGBK Ink for Canon 280 PGBK 280 XXL Canon Ink Cartridges Compatible with Canon TR8520 TR8620 TR7520 TS6120 TS6320 TS9120 TS8220 TR8600 TR8500 TR8622 Pinter Ink(PGBK 280 XXL, 2 Pack)",https://m.media-amazon.com/images/I/61O3hJK6osL._AC_UL320_.jpg,27.19,4.9,False,100,Office Electronics
B0C4SGVM3F,SANUNE 65XL Black Ink Cartridges Remanufactured for HP Ink 65 HP65XL Compatible with HP DeskJet 3772 3755 3722 3752 3700 2600 2622 2640 2652 Envy 5055 5000 5070 5052 5010 5014 Printer (2-Pack),https://m.media-amazon.com/images/I/71fKfBKCB5L._AC_UL320_.jpg,29.98,4.7,False,400,Office Electronics
B0BRN9MMDR,"VACASSO Projector, Portable Outdoor Movie Projector with WiFi Bluetooth, Electric Focus, Native 1080P 4K Support, 500 ANSI, Touch Screen, Auto Vertical Keystone and 4P/6D for Phone/PC/TV Stick",https://m.media-amazon.com/images/I/81JX+tgIAXL._AC_UL320_.jpg,199.99,4.4,False,50,Office Electronics
B0CBJL1X4T,"Thermal Laminator, 8.5x11 Laminator, 9 Inch Laminator Machine with 12 Laminating Sheets, A4/A5/A6 Personal Hot Cold Laminating Machine for Home School Teachers Office, Anti-Jam",https://m.media-amazon.com/images/I/71lPaZLrn-L._AC_UL320_.jpg,29.99,4.5,False,200,Office Electronics
